Sat Sep 22 01:08:06 EEST 2018
finish: Thu Dec 27 01:12:25 EET 2018 
start: Fri Dec 28 01:12:07 EET 2018 
finish: Fri Dec 28 01:12:26 EET 2018 
start: Sat Dec 29 01:12:08 EET 2018 
finish: Sat Dec 29 01:12:28 EET 2018 
start: Sun Dec 30 01:12:07 EET 2018 
finish: Sun Dec 30 01:12:32 EET 2018 
start: Tue Jan  1 01:12:06 EET 2019 
finish: Tue Jan  1 01:12:28 EET 2019 
start: Wed Jan  2 01:12:06 EET 2019 
finish: Wed Jan  2 01:12:30 EET 2019 
start: Thu Jan  3 01:12:08 EET 2019 
finish: Thu Jan  3 01:12:32 EET 2019 
start: Fri Jan  4 01:12:07 EET 2019 
finish: Fri Jan  4 01:12:31 EET 2019 
start: Sat Jan  5 01:12:07 EET 2019 
finish: Sat Jan  5 01:12:33 EET 2019 
start: Sun Jan  6 01:12:07 EET 2019 
finish: Sun Jan  6 01:12:30 EET 2019 
start: Mon Jan  7 01:12:07 EET 2019 
finish: Mon Jan  7 01:12:12 EET 2019 
start: Tue Jan  8 01:12:07 EET 2019 
finish: Tue Jan  8 01:12:26 EET 2019 
start: Wed Jan  9 01:12:08 EET 2019 
finish: Wed Jan  9 01:12:22 EET 2019 
start: Thu Jan 10 01:12:07 EET 2019 
finish: Thu Jan 10 01:12:26 EET 2019 
start: Fri Jan 11 01:12:08 EET 2019 
finish: Fri Jan 11 01:12:32 EET 2019 
start: Sat Jan 12 01:12:07 EET 2019 
finish: Sat Jan 12 01:12:32 EET 2019 
start: Sun Jan 13 01:12:07 EET 2019 
finish: Sun Jan 13 01:12:28 EET 2019 
start: Mon Jan 14 01:12:07 EET 2019 
finish: Mon Jan 14 01:12:28 EET 2019 
start: Tue Jan 15 01:12:07 EET 2019 
finish: Tue Jan 15 01:12:26 EET 2019 
start: Wed Jan 16 01:12:08 EET 2019 
finish: Wed Jan 16 01:12:27 EET 2019 
